time, tln-10A04R02T01, tln-10A12R02T01, tln-10A22R02T01, tln-10A35R02T01, tln-10A49R02T01, tln-10A58R02T01
(s), (K), (K), (K), (K), (K), (K)
0.0, 346.6719970703125, 405.740966796875, 405.7318115234375, 405.7255859375, 405.71917724609375, 405.711669921875
0.10373413562774658, 408.61285400390625, 373.85382080078125, 364.0953063964844, 370.33447265625, 400.44549560546875, 405.88018798828125
0.20603495836257935, 447.0389404296875, 445.47686767578125, 418.90460205078125, 399.5775146484375, 388.09814453125, 394.3153991699219
0.30843502283096313, 433.8113098144531, 433.67572021484375, 429.7525939941406, 428.7653503417969, 427.66876220703125, 429.59039306640625
0.4090045392513275, 416.11322021484375, 414.3417663574219, 415.1506652832031, 413.5740966796875, 411.93988037109375, 409.9668273925781
0.5173681974411011, 410.841064453125, 409.7138366699219, 409.4033508300781, 408.54986572265625, 407.87652587890625, 406.7549743652344
0.6176936030387878, 407.9761657714844, 407.7813720703125, 407.5679626464844, 407.2364807128906, 406.86346435546875, 406.27886962890625
0.7183680534362793, 406.4882507324219, 406.61572265625, 406.493408203125, 406.3695983886719, 406.23883056640625, 405.9763488769531
0.8197470307350159, 405.6094970703125, 406.4452209472656, 406.2724304199219, 406.1769714355469, 406.0899658203125, 405.9831237792969
0.9214017987251282, 406.3959655761719, 406.5853576660156, 406.3181457519531, 406.1994323730469, 406.09210205078125, 406.12713623046875
1.0237839221954346, 406.4303894042969, 406.6207580566406, 406.3749694824219, 406.2449951171875, 406.1255798339844, 406.218505859375
1.1253479719161987, 406.5378112792969, 406.44903564453125, 406.4685363769531, 406.2997131347656, 406.1475830078125, 406.2062072753906
1.2256832122802734, 406.3507080078125, 406.3090515136719, 406.3763732910156, 406.236572265625, 406.0965576171875, 406.166259765625
1.328076720237732, 406.0267639160156, 406.0104675292969, 406.1174621582031, 406.0601501464844, 405.9887390136719, 406.11541748046875
1.4295883178710938, 406.0612487792969, 406.041015625, 406.1264343261719, 406.0630187988281, 406.00115966796875, 406.13006591796875
1.5329571962356567, 405.9776611328125, 405.96282958984375, 405.9290466308594, 405.99951171875, 405.96661376953125, 406.12225341796875
1.6403169631958008, 405.88751220703125, 405.8769836425781, 405.8537292480469, 405.818603515625, 405.9227600097656, 406.1352233886719
1.7481226921081543, 405.79705810546875, 405.7933044433594, 405.78289794921875, 405.7602233886719, 405.8879089355469, 406.3085632324219
1.8512886762619019, 405.777587890625, 405.7734680175781, 405.76690673828125, 405.7561950683594, 405.9709167480469, 406.8087463378906
1.9522430896759033, 405.9220886230469, 405.9186706542969, 405.9114685058594, 405.90252685546875, 405.7799072265625, 406.9237365722656
2.056255578994751, 405.85430908203125, 405.8526306152344, 405.8482666015625, 405.8418884277344, 405.8807067871094, 406.8166198730469
2.1611032485961914, 405.8559265136719, 405.8543701171875, 405.8507385253906, 405.84576416015625, 406.7639465332031, 406.7067565917969
2.2623114585876465, 405.83673095703125, 405.8348083496094, 405.83087158203125, 405.8262023925781, 406.7961730957031, 406.33282470703125
2.3697376251220703, 405.77630615234375, 405.7748107910156, 405.771728515625, 405.7678527832031, 406.446533203125, 406.27392578125
2.470796823501587, 405.7644958496094, 405.762939453125, 405.7597961425781, 405.75616455078125, 406.37261962890625, 406.30712890625
2.5730323791503906, 405.77764892578125, 405.7762756347656, 405.7734375, 405.7701721191406, 406.2071533203125, 406.6716003417969
2.6830368041992188, 405.82098388671875, 405.819580078125, 405.8166198730469, 405.8133850097656, 406.1231384277344, 406.74755859375
2.7990283966064453, 405.8023376464844, 405.8009338378906, 405.7982177734375, 405.7951354980469, 406.08941650390625, 406.5709533691406
2.9144444465637207, 405.7893981933594, 405.7884826660156, 405.78662109375, 405.7840270996094, 406.09136962890625, 406.20452880859375
3.021507978439331, 405.8772888183594, 405.8750915527344, 405.8668518066406, 405.8556213378906, 406.13946533203125, 406.1234436035156
3.127840042114258, 406.1147766113281, 406.0003356933594, 406.017333984375, 405.9869079589844, 406.1142272949219, 406.0368347167969
3.2289206981658936, 406.20819091796875, 406.0865173339844, 406.05340576171875, 406.0187683105469, 406.0691833496094, 406.0488586425781
3.3304240703582764, 406.27008056640625, 406.0642395019531, 406.0344543457031, 406.0011291503906, 405.99383544921875, 405.9612121582031
3.430795907974243, 406.25787353515625, 405.9425354003906, 405.92193603515625, 405.8978576660156, 405.9234313964844, 405.9789733886719
3.531782627105713, 406.33441162109375, 405.8794250488281, 405.8642578125, 405.8436279296875, 405.8892822265625, 405.96783447265625
3.6341655254364014, 406.3922119140625, 405.8471374511719, 405.8352966308594, 405.8175964355469, 405.8779296875, 405.9263000488281
3.7383317947387695, 405.859619140625, 405.8434753417969, 405.83258056640625, 405.8182373046875, 405.8832702636719, 405.9222717285156
3.857654333114624, 405.8345642089844, 405.8315124511719, 405.82257080078125, 405.8119812011719, 405.9914245605469, 405.93463134765625
3.97160005569458, 405.8083190917969, 405.80841064453125, 405.79888916015625, 405.7903747558594, 406.1931457519531, 406.0411376953125
4.085036277770996, 405.78759765625, 405.7852478027344, 405.7793884277344, 405.7726135253906, 406.19061279296875, 406.3324890136719
4.206836223602295, 405.76776123046875, 405.76605224609375, 405.7613830566406, 405.7553405761719, 406.1903076171875, 406.1279602050781
4.325813293457031, 405.7599182128906, 405.75787353515625, 405.7538757324219, 405.74932861328125, 406.1264953613281, 406.06561279296875
4.43371057510376, 405.7696533203125, 405.7672119140625, 405.7627258300781, 405.7581481933594, 406.07623291015625, 406.0740051269531
4.541126251220703, 405.7696533203125, 405.76715087890625, 405.7629699707031, 405.7586669921875, 406.039794921875, 406.1114807128906
4.671690464019775, 405.7639465332031, 405.76116943359375, 405.75738525390625, 405.7534484863281, 406.0224609375, 406.1919860839844
4.78776741027832, 405.7620544433594, 405.7568359375, 405.7533874511719, 405.7498474121094, 406.0235900878906, 406.2877197265625
4.922141075134277, 405.75341796875, 405.749755859375, 405.7471008300781, 405.7442626953125, 406.0319519042969, 406.3926696777344
5.023294448852539, 405.7523193359375, 405.7491149902344, 405.746337890625, 405.7435302734375, 406.04443359375, 406.4285583496094
5.1348161697387695, 405.7563781738281, 405.7511901855469, 405.74822998046875, 405.74530029296875, 406.0655822753906, 406.4562072753906
5.257768630981445, 405.7535705566406, 405.7491149902344, 405.7464904785156, 405.7436828613281, 406.09393310546875, 406.46539306640625
5.35908317565918, 405.76776123046875, 405.7608337402344, 405.755615234375, 405.7522888183594, 406.1347351074219, 406.47723388671875
5.469796657562256, 405.78448486328125, 405.7748107910156, 405.768310546875, 405.7632141113281, 406.1620788574219, 406.4894104003906
5.5783185958862305, 405.7926025390625, 405.7906188964844, 405.7833557128906, 405.7767639160156, 406.17523193359375, 406.49346923828125
5.681950092315674, 405.80316162109375, 405.801513671875, 405.7938537597656, 405.7866516113281, 406.17425537109375, 406.47503662109375
5.785118579864502, 405.81964111328125, 405.81829833984375, 405.8095397949219, 405.8014831542969, 406.1722412109375, 406.42376708984375
5.910521030426025, 405.8486328125, 405.8535461425781, 405.8359069824219, 405.8260498046875, 406.16607666015625, 405.7273864746094
6.022008419036865, 405.87359619140625, 405.8697204589844, 405.8583068847656, 405.84637451171875, 406.15252685546875, 405.6620178222656
6.151069641113281, 405.86761474609375, 405.8656005859375, 405.85345458984375, 405.8406677246094, 406.15972900390625, 405.7231750488281
6.300473690032959, 405.8193664550781, 405.8184509277344, 405.8080749511719, 405.7941589355469, 405.7374267578125, 405.71917724609375
6.412941932678223, 405.7523193359375, 405.75494384765625, 405.74957275390625, 405.7411193847656, 405.70587158203125, 405.7101135253906
6.536937713623047, 405.7330322265625, 405.7326354980469, 405.72894287109375, 405.723876953125, 405.646240234375, 405.7078857421875
6.673643589019775, 405.727294921875, 405.7272033691406, 405.724609375, 405.72088623046875, 405.6251525878906, 405.7076416015625
6.785762786865234, 405.7238464355469, 405.72344970703125, 405.7208251953125, 405.7171630859375, 405.6695251464844, 405.705322265625
6.913528919219971, 405.72857666015625, 405.7272033691406, 405.724609375, 405.7217712402344, 405.705322265625, 405.7067565917969
7.014155387878418, 405.7309265136719, 405.72967529296875, 405.7272033691406, 405.724609375, 405.71063232421875, 405.7073669433594
7.1195831298828125, 405.7270202636719, 405.72601318359375, 405.72393798828125, 405.7210693359375, 405.71124267578125, 405.70684814453125
7.229507923126221, 405.72723388671875, 405.7258605957031, 405.72381591796875, 405.7208251953125, 405.7109375, 405.7070617675781
7.336047649383545, 405.724609375, 405.7235412597656, 405.72149658203125, 405.71875, 405.7097473144531, 405.706298828125
7.4399638175964355, 405.7262268066406, 405.7251892089844, 405.7230529785156, 405.7206726074219, 405.7106628417969, 405.7067565917969
7.540230751037598, 405.7243347167969, 405.7232971191406, 405.72119140625, 405.7186279296875, 405.7102966308594, 405.7065124511719
7.642172336578369, 405.7268371582031, 405.72576904296875, 405.7236328125, 405.7277526855469, 405.7109680175781, 405.7069396972656
7.746711730957031, 405.7306213378906, 405.7294921875, 405.727294921875, 405.8309020996094, 405.71282958984375, 405.7078857421875
