time, pn-10A04R01T01, pn-10A12R01T01, pn-10A22R01T01, pn-10A35R01T01, pn-10A49R01T01, pn-10A58R01T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
170.5337371826172, 320644.5, 315033.09375, 308085.0625, 304918.21875, 303814.40625, 303102.96875
170.63449096679688, 320650.625, 315039.375, 308099.1875, 305121.40625, 303973.0625, 303288.59375
170.73519897460938, 320689.28125, 315077.21875, 308126.90625, 305077.15625, 303897.03125, 303212.6875
170.83529663085938, 320817.3125, 315205.0, 308260.1875, 305382.34375, 304325.1875, 303615.9375
170.93592834472656, 320729.3125, 315117.0, 308165.125, 305101.625, 304031.875, 303354.96875
171.0370635986328, 320733.0, 315122.1875, 308189.28125, 305127.78125, 303859.15625, 303204.03125
171.13723754882812, 320656.34375, 315043.5625, 308083.875, 304989.34375, 303714.6875, 303036.4375
171.23727416992188, 320621.34375, 315009.1875, 308056.96875, 304920.5, 303697.5, 303013.40625
171.3397979736328, 320670.8125, 315059.125, 308115.625, 304899.65625, 303716.59375, 303033.28125
171.44178771972656, 320740.5, 315129.53125, 308194.03125, 305121.1875, 303799.53125, 303128.40625
171.54469299316406, 320780.5, 315168.53125, 308213.78125, 305079.28125, 303786.71875, 303111.96875
171.64500427246094, 320842.0, 315231.1875, 308285.75, 305103.875, 303905.78125, 303223.125
171.7450714111328, 320888.09375, 315276.34375, 308330.28125, 305098.0625, 303958.71875, 303285.71875
171.84510803222656, 321053.75, 315442.09375, 308496.6875, 305578.90625, 304205.1875, 303543.6875
171.9458465576172, 321150.03125, 315538.59375, 308587.375, 305682.46875, 304431.71875, 303756.71875
172.04629516601562, 321176.03125, 315563.59375, 308609.96875, 305439.0, 304203.84375, 303492.3125
172.14813232421875, 321242.03125, 315630.3125, 308688.9375, 305335.5625, 304065.9375, 303330.25
172.25001525878906, 321247.5, 315635.0, 308678.78125, 305544.03125, 304024.6875, 303274.53125
172.35215759277344, 321287.34375, 315677.5625, 308742.46875, 305622.5, 304092.25, 303357.75
172.45326232910156, 321222.40625, 315610.28125, 308658.21875, 305275.65625, 304002.03125, 303222.15625
172.55416870117188, 321272.28125, 315660.03125, 308717.125, 305546.96875, 304128.34375, 303335.09375
172.65628051757812, 321353.65625, 315741.0, 308786.53125, 305745.84375, 304083.34375, 303267.40625
172.7589111328125, 321355.0, 315742.875, 308782.21875, 305527.28125, 304175.9375, 303363.875
172.86044311523438, 321359.84375, 315747.34375, 308797.28125, 305380.96875, 304046.0, 303212.625
172.9632110595703, 321355.875, 315744.0625, 308801.125, 305583.5625, 304174.90625, 303351.125
173.06658935546875, 321405.6875, 315794.40625, 308850.5, 305763.65625, 304129.90625, 303305.65625
173.1677703857422, 321452.03125, 315838.96875, 308887.65625, 305633.8125, 304201.75, 303392.28125
173.26856994628906, 321356.9375, 315746.6875, 308812.90625, 305504.75, 304147.6875, 303326.34375
173.37179565429688, 321467.6875, 315857.625, 308931.84375, 305752.78125, 304217.28125, 303392.25
173.47373962402344, 321456.59375, 315844.8125, 308893.03125, 305849.28125, 304222.1875, 303428.03125
173.5786590576172, 321403.5625, 315791.3125, 308839.90625, 305611.125, 304231.46875, 303423.9375
173.6800537109375, 321307.375, 315694.90625, 308732.5, 305387.71875, 304108.03125, 303318.3125
173.78070068359375, 321388.1875, 315776.21875, 308834.5, 305787.3125, 304216.71875, 303414.0625
173.8829803466797, 321395.5, 315784.21875, 308831.25, 305873.53125, 304516.40625, 303862.09375
173.98330688476562, 321341.125, 315728.375, 308767.75, 305486.21875, 304111.96875, 303329.9375
174.08401489257812, 321363.4375, 315751.71875, 308809.96875, 305670.5625, 304406.96875, 303615.3125
174.18453979492188, 321317.78125, 315705.375, 308746.59375, 305617.8125, 304216.5, 303456.65625
174.28590393066406, 321368.15625, 315757.96875, 308820.90625, 305787.28125, 304099.21875, 303346.03125
174.38619995117188, 321366.75, 315755.125, 308811.46875, 305647.65625, 304258.8125, 303488.46875
174.48721313476562, 321316.375, 315704.53125, 308760.875, 305517.15625, 304115.375, 303364.46875
