time, tln-10A04R01T01, tln-10A12R01T01, tln-10A22R01T01, tln-10A35R01T01, tln-10A49R01T01, tln-10A58R01T01
(s), (K), (K), (K), (K), (K), (K)
0.0, 346.6719970703125, 405.7406311035156, 405.7318420410156, 405.7255859375, 405.71929931640625, 405.71197509765625
0.10373413562774658, 402.0820007324219, 371.59246826171875, 365.2678527832031, 372.9248046875, 401.9198303222656, 405.892578125
0.20603495836257935, 445.93707275390625, 445.8680419921875, 422.012939453125, 399.819580078125, 389.6570739746094, 395.5581970214844
0.30843502283096313, 434.31341552734375, 433.6711730957031, 429.1282043457031, 427.66510009765625, 424.30316162109375, 431.4424743652344
0.4090045392513275, 414.41436767578125, 414.3162536621094, 414.6764831542969, 413.4798889160156, 411.9744567871094, 410.36663818359375
0.5173681974411011, 410.42242431640625, 409.5419006347656, 408.9931335449219, 408.679443359375, 406.8048095703125, 405.54119873046875
0.6176936030387878, 408.2204284667969, 407.8752746582031, 407.6794128417969, 407.22119140625, 406.819091796875, 406.3310546875
0.7183680534362793, 406.60205078125, 406.8377380371094, 406.50201416015625, 406.43145751953125, 406.2757568359375, 406.1063232421875
0.8197470307350159, 400.87518310546875, 406.555908203125, 406.3011169433594, 406.2743835449219, 406.1847229003906, 406.0653381347656
0.9214017987251282, 407.93756103515625, 406.5920104980469, 406.35321044921875, 406.3083190917969, 406.214111328125, 406.0854187011719
1.0237839221954346, 408.9380187988281, 406.6366271972656, 406.4031066894531, 406.34625244140625, 406.26080322265625, 406.1289978027344
1.1253479719161987, 409.1029052734375, 406.7002258300781, 406.4716491699219, 406.3855285644531, 406.28466796875, 406.1222839355469
1.2256832122802734, 407.1647033691406, 406.6218566894531, 406.3473815917969, 406.29833984375, 406.21331787109375, 406.0877380371094
1.328076720237732, 406.3939514160156, 406.5577697753906, 406.14190673828125, 406.103515625, 406.087646484375, 406.0272521972656
1.4295883178710938, 406.3149719238281, 406.34765625, 406.1197509765625, 406.1152648925781, 406.0889587402344, 406.0267639160156
1.5329571962356567, 406.2328186035156, 406.2591857910156, 406.0747375488281, 406.0762634277344, 406.0612487792969, 406.0064392089844
1.6403169631958008, 406.1575622558594, 406.2987365722656, 406.0262451171875, 406.03375244140625, 406.0286560058594, 406.018798828125
1.7481226921081543, 406.1569519042969, 406.6361999511719, 406.0496520996094, 406.0985107421875, 406.1209411621094, 406.1666259765625
1.8512886762619019, 406.6772766113281, 406.7651062011719, 406.1990966796875, 406.3749694824219, 406.4411926269531, 406.5078430175781
1.9522430896759033, 406.6004638671875, 406.8897399902344, 406.4237365722656, 406.65667724609375, 406.6419677734375, 406.61236572265625
2.056255578994751, 406.5421142578125, 406.92449951171875, 406.4447326660156, 406.5460510253906, 406.5394287109375, 407.01898193359375
2.1611032485961914, 406.4919738769531, 406.9872741699219, 406.4701843261719, 406.52410888671875, 406.5546569824219, 406.728515625
2.2623114585876465, 406.4189758300781, 406.9342041015625, 406.4723205566406, 406.5269470214844, 406.32257080078125, 406.2718200683594
2.3697376251220703, 406.3319091796875, 406.8354797363281, 406.4188232421875, 406.4693298339844, 406.0719909667969, 406.1292419433594
2.470796823501587, 406.30841064453125, 406.7863464355469, 406.4026794433594, 406.4838562011719, 406.0464172363281, 406.0915222167969
2.5730323791503906, 406.3235778808594, 406.756591796875, 406.416259765625, 406.3138732910156, 406.0791320800781, 406.2314758300781
2.6830368041992188, 406.385498046875, 406.7687683105469, 406.4649963378906, 406.19976806640625, 406.14208984375, 406.1277160644531
2.7990283966064453, 406.40679931640625, 406.7253112792969, 406.3045654296875, 406.1783752441406, 406.12933349609375, 406.07489013671875
2.9144444465637207, 406.4192199707031, 406.71087646484375, 406.13995361328125, 406.205078125, 406.107421875, 406.09429931640625
3.021507978439331, 406.5078125, 406.7840576171875, 406.1715393066406, 406.212646484375, 406.0683288574219, 406.069580078125
3.127840042114258, 406.6893310546875, 406.9905700683594, 406.2480773925781, 406.1583557128906, 406.05596923828125, 406.0242004394531
3.2289206981658936, 406.6711730957031, 406.964111328125, 406.2423095703125, 406.0761413574219, 405.9776916503906, 405.93475341796875
3.3304240703582764, 406.3659973144531, 406.66168212890625, 406.1376647949219, 406.0844421386719, 405.9745178222656, 405.9169921875
3.430795907974243, 406.1700744628906, 406.703857421875, 406.0744934082031, 406.0249328613281, 405.958740234375, 405.9194030761719
3.531782627105713, 406.0826110839844, 406.7332763671875, 406.02069091796875, 405.9659118652344, 405.92431640625, 405.8753662109375
3.6341655254364014, 406.06005859375, 406.7213439941406, 406.1513671875, 405.91754150390625, 405.87255859375, 405.839599609375
3.7383317947387695, 406.0562438964844, 406.65386962890625, 406.1716003417969, 405.9109191894531, 405.8650207519531, 405.83367919921875
3.857654333114624, 406.15106201171875, 406.6272888183594, 406.18603515625, 405.90277099609375, 405.8658752441406, 405.8265075683594
3.97160005569458, 406.2687683105469, 406.6111755371094, 406.1524658203125, 405.9538879394531, 405.86553955078125, 405.8473815917969
4.085036277770996, 406.14935302734375, 406.5914611816406, 406.1477966308594, 406.08453369140625, 405.961669921875, 405.9286804199219
4.206836223602295, 406.16082763671875, 406.5755920410156, 406.1589660644531, 406.2102355957031, 406.0392761230469, 405.9269104003906
4.325813293457031, 406.1117248535156, 406.5986328125, 406.1398010253906, 406.15093994140625, 406.0303649902344, 405.9398193359375
4.43371057510376, 406.101318359375, 406.66558837890625, 406.1299133300781, 406.12445068359375, 406.015625, 405.9704284667969
4.541126251220703, 406.0760803222656, 406.7222900390625, 406.1153259277344, 406.1041259765625, 406.0152587890625, 405.9940185546875
