time, alpn-10A04R03T01, alpn-10A12R03T01, alpn-10A22R03T01, alpn-10A35R03T01, alpn-10A49R03T01, alpn-10A58R03T01
(s), (), (), (), (), (), ()
0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0
0.10373413562774658, 0.945703387260437, 0.6773061156272888, 0.9346405863761902, 0.9955502152442932, 0.9998741149902344, 0.9999984502792358
0.20603495836257935, 0.9875879287719727, 0.9924774765968323, 0.8842034935951233, 0.8211003541946411, 0.8568748831748962, 0.9139630794525146
0.30843502283096313, 0.9957070350646973, 0.9991806149482727, 0.9975433945655823, 0.9956001043319702, 0.9743993282318115, 0.974376916885376
0.4090045392513275, 0.9817969799041748, 0.9987223744392395, 0.9997625946998596, 0.999914288520813, 0.9999348521232605, 0.9999632835388184
0.5173681974411011, 0.9666905999183655, 0.9948738813400269, 0.9957647919654846, 0.9985301494598389, 0.9991613626480103, 0.9993576407432556
0.6176936030387878, 0.9763970971107483, 0.9955617189407349, 0.9950482249259949, 0.9979355931282043, 0.9986664056777954, 0.9987719058990479
0.7183680534362793, 0.9879351854324341, 0.99711012840271, 0.9949643611907959, 0.9979679584503174, 0.9987341165542603, 0.9988654255867004
0.8197470307350159, 0.9936330914497375, 0.9982272386550903, 0.9953941106796265, 0.997942328453064, 0.9988353848457336, 0.9990308284759521
0.9214017987251282, 0.9954110383987427, 0.9989009499549866, 0.9963740110397339, 0.9979845285415649, 0.9988612532615662, 0.9991752505302429
1.0237839221954346, 0.9962524175643921, 0.9992281794548035, 0.9969804286956787, 0.9980677366256714, 0.9988219738006592, 0.999238133430481
1.1253479719161987, 0.994210422039032, 0.9995124340057373, 0.9975562691688538, 0.9982931017875671, 0.9987514019012451, 0.9992107152938843
1.2256832122802734, 0.9937857985496521, 0.9996587634086609, 0.9983263611793518, 0.9986128807067871, 0.9988193511962891, 0.9991442561149597
1.328076720237732, 0.9951289892196655, 0.99985271692276, 0.9987422823905945, 0.998816728591919, 0.9989389181137085, 0.9991417527198792
1.4295883178710938, 0.9964545369148254, 0.9999275207519531, 0.9991527795791626, 0.9990521669387817, 0.9990394711494446, 0.9991986751556396
1.5329571962356567, 0.9973260760307312, 0.999947190284729, 0.9994617700576782, 0.999366819858551, 0.9992179274559021, 0.9993107914924622
1.6403169631958008, 0.9979375004768372, 0.9999863505363464, 0.9996306300163269, 0.9995889663696289, 0.9993581175804138, 0.9994075298309326
1.7481226921081543, 0.9983806610107422, 0.9999977946281433, 0.9997266530990601, 0.999760091304779, 0.9994857311248779, 0.9994973540306091
1.8512886762619019, 0.9987006187438965, 0.999999463558197, 0.9997401833534241, 0.9999426007270813, 0.9996367692947388, 0.9996340274810791
1.9522430896759033, 0.998944878578186, 1.0, 0.9997410178184509, 0.9999994039535522, 0.9997904300689697, 0.9996675252914429
2.056255578994751, 0.9991691708564758, 1.0, 0.9997376799583435, 1.0, 0.9998307228088379, 0.9828097820281982
