time, rftn-301A34R29, rftn-301A49R29, rftn-301A89R29, rftn-301A124R29, rftn-301A134R29, rftn-301A144R29, rftn-301A154R29, rftn-301A161R29, rftn-301A169R29, rftn-301A184R29, rftn-301A194R29, rftn-301A204R29, rftn-301A214R29, rftn-301A224R29, rftn-301A234R29, rftn-301A254R29, rftn-301A264R29, rftn-301A279R29, rftn-301A299R29, rftn-301A314R29
(s), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K), (K)
0.0, 597.25, 596.6500244140625, 774.1190185546875, 836.072998046875, 848.52001953125, 872.3469848632812, 872.8300170898438, 857.3740234375, 859.8040161132812, 856.6619873046875, 831.93798828125, 838.4990234375, 833.4500122070312, 805.7949829101562, 762.2860107421875, 699.4030151367188, 690.25, 639.0360107421875, 586.3670043945312, 581.1500244140625
0.10373413562774658, 554.9938354492188, 550.8904418945312, 773.7965698242188, 835.9815063476562, 848.5289306640625, 872.2687377929688, 872.82373046875, 857.428955078125, 859.856201171875, 856.8197631835938, 832.2722778320312, 838.7664794921875, 833.7228393554688, 806.2289428710938, 762.7711181640625, 700.0733032226562, 690.8572387695312, 639.6997680664062, 586.8494262695312, 581.5558471679688
0.20603495836257935, 532.4703369140625, 510.2286071777344, 769.8176879882812, 834.3203125, 847.075927734375, 870.7250366210938, 871.49072265625, 856.0886840820312, 858.5140380859375, 855.8616333007812, 831.7135009765625, 838.2332153320312, 833.3284912109375, 805.9078979492188, 761.239990234375, 692.3546142578125, 682.7532958984375, 625.7783203125, 578.5510864257812, 573.6766357421875
0.30843502283096313, 541.185546875, 523.926513671875, 768.3163452148438, 832.5481567382812, 845.4003295898438, 868.872802734375, 869.7127685546875, 854.1810913085938, 856.5293579101562, 854.273681640625, 830.5208129882812, 836.9761962890625, 832.1685791015625, 804.7507934570312, 755.8032836914062, 660.827392578125, 649.4622192382812, 553.8616943359375, 536.2017822265625, 531.7081298828125
0.4090045392513275, 545.69287109375, 529.9017944335938, 767.6483764648438, 831.7188110351562, 844.73583984375, 868.1228637695312, 869.0179443359375, 853.6180419921875, 855.887939453125, 853.8326416015625, 830.3512573242188, 836.7650146484375, 831.9871826171875, 804.7757568359375, 756.3814086914062, 663.0372314453125, 651.5467529296875, 546.5720825195312, 533.2874145507812, 525.6511840820312
0.5173681974411011, 547.1658325195312, 531.4278564453125, 766.79833984375, 830.835205078125, 844.0175170898438, 867.3059692382812, 868.2742919921875, 852.944580078125, 855.2872314453125, 853.4819946289062, 830.3074951171875, 836.6778564453125, 831.94970703125, 805.0069580078125, 757.7267456054688, 669.1180419921875, 657.8134765625, 561.6024780273438, 541.4464111328125, 534.5800170898438
0.6176936030387878, 549.4873046875, 533.77783203125, 766.3564453125, 830.4955444335938, 843.8109741210938, 867.0279541015625, 868.063232421875, 852.8176879882812, 855.2258911132812, 853.5675048828125, 830.6051635742188, 836.9322509765625, 832.2360229492188, 805.5108642578125, 758.8333129882812, 672.8994140625, 661.6642456054688, 569.9669189453125, 545.9945068359375, 539.3154907226562
0.7183680534362793, 551.4234619140625, 536.91162109375, 766.4714965820312, 830.7162475585938, 844.1021728515625, 867.2615966796875, 868.34521484375, 853.1766357421875, 855.5796508789062, 853.9599609375, 831.1015625, 837.376953125, 832.684326171875, 806.0979614257812, 759.7211303710938, 675.5969848632812, 664.3815307617188, 575.6222534179688, 549.0681762695312, 542.3882446289062
0.8197470307350159, 553.3385009765625, 539.5549926757812, 766.8850708007812, 831.160400390625, 844.5776977539062, 867.6915283203125, 868.8062744140625, 853.6846313476562, 856.0361328125, 854.42333984375, 831.6188354492188, 837.853271484375, 833.1575317382812, 806.65673828125, 760.4417724609375, 677.6412353515625, 666.4488525390625, 579.8191528320312, 551.3900756835938, 544.6661376953125
0.9214017987251282, 554.9723510742188, 541.7966918945312, 767.2648315429688, 831.5575561523438, 845.0074462890625, 868.081298828125, 869.217529296875, 854.116943359375, 856.4379272460938, 854.8404541015625, 832.0773315429688, 838.2800903320312, 833.581787109375, 807.144287109375, 761.0801391601562, 679.3648681640625, 668.2117309570312, 583.3517456054688, 553.397705078125, 546.6787719726562
1.0237839221954346, 556.35791015625, 543.7039794921875, 767.5610961914062, 831.8909301757812, 845.3812866210938, 868.4180297851562, 869.5748901367188, 854.4905395507812, 856.7996826171875, 855.2225952148438, 832.5009155273438, 838.674560546875, 833.9742431640625, 807.5933227539062, 761.6655883789062, 680.8890380859375, 669.7765502929688, 586.4605102539062, 555.1900634765625, 548.4912109375
1.1253479719161987, 557.4461669921875, 545.3607177734375, 767.8262939453125, 832.21142578125, 845.74609375, 868.7467041015625, 869.92578125, 854.8659057617188, 857.1709594726562, 855.6126708984375, 832.9346923828125, 839.0777587890625, 834.37548828125, 808.0558471679688, 762.2352905273438, 682.268798828125, 671.185546875, 589.1905517578125, 556.7742309570312, 550.0927124023438
1.2256832122802734, 557.9169311523438, 546.7408447265625, 767.9711303710938, 832.3944702148438, 845.987548828125, 868.9526977539062, 870.1586303710938, 855.1314697265625, 857.4612426757812, 855.9439697265625, 833.326904296875, 839.4454956054688, 834.7473754882812, 808.4984130859375, 762.8018798828125, 683.5731201171875, 672.5183715820312, 591.7472534179688, 558.2566528320312, 551.5946655273438
