time, tvn-10A04R03T01, tvn-10A12R03T01, tvn-10A22R03T01, tvn-10A35R03T01, tvn-10A49R03T01, tvn-10A58R03T01
(s), (K), (K), (K), (K), (K), (K)
0.0, 405.74853515625, 473.76800537109375, 696.4630126953125, 765.7890014648438, 825.9299926757812, 614.3179931640625
0.10373413562774658, 424.59820556640625, 447.26812744140625, 677.0283813476562, 760.396728515625, 757.9357299804688, 664.6947631835938
0.20603495836257935, 460.2070007324219, 459.61785888671875, 517.96240234375, 580.2916259765625, 672.7457885742188, 652.8469848632812
0.30843502283096313, 432.5873718261719, 465.8002014160156, 652.887939453125, 752.7921752929688, 744.9274291992188, 486.3167419433594
0.4090045392513275, 413.95001220703125, 448.1613464355469, 601.0333251953125, 702.82958984375, 732.2528686523438, 630.9379272460938
0.5173681974411011, 410.2434997558594, 457.4399719238281, 644.866455078125, 760.36376953125, 761.032958984375, 618.2753295898438
0.6176936030387878, 407.8667297363281, 468.3175964355469, 671.4758911132812, 776.6192626953125, 761.13818359375, 616.382080078125
0.7183680534362793, 406.4791564941406, 485.4199523925781, 695.7427368164062, 793.8392944335938, 762.4011840820312, 610.0685424804688
0.8197470307350159, 406.41888427734375, 496.6116027832031, 704.5369873046875, 797.7090454101562, 763.7064819335938, 613.5591430664062
0.9214017987251282, 408.43988037109375, 494.9142761230469, 691.3146362304688, 786.7937622070312, 766.7138061523438, 628.0369873046875
1.0237839221954346, 410.5539245605469, 496.5310974121094, 684.68505859375, 781.1309814453125, 766.0526733398438, 635.4343872070312
1.1253479719161987, 412.4393310546875, 498.8139953613281, 684.1670532226562, 783.1980590820312, 768.7595825195312, 639.01416015625
1.2256832122802734, 411.0765075683594, 498.77386474609375, 685.0852661132812, 782.0433349609375, 766.8213500976562, 640.1305541992188
1.328076720237732, 412.880615234375, 518.8782348632812, 729.9833374023438, 813.0107421875, 764.3060302734375, 619.8637084960938
1.4295883178710938, 407.9814147949219, 495.7959899902344, 716.765869140625, 816.0613403320312, 769.7942504882812, 625.1612548828125
1.5329571962356567, 408.88970947265625, 505.37762451171875, 725.4871826171875, 821.0247802734375, 767.750244140625, 621.2547607421875
1.6403169631958008, 409.8061828613281, 520.8638916015625, 745.6737670898438, 830.018798828125, 763.9527587890625, 613.5003051757812
1.7481226921081543, 410.8941345214844, 535.16552734375, 771.2959594726562, 836.4530029296875, 757.634033203125, 604.8656005859375
1.8512886762619019, 412.08477783203125, 549.8245849609375, 797.2968139648438, 845.4376220703125, 750.9874877929688, 593.4268798828125
1.9522430896759033, 413.4111328125, 563.34765625, 808.9215087890625, 848.9439697265625, 746.9756469726562, 588.9871826171875
2.056255578994751, 414.1363525390625, 570.4013671875, 812.6283569335938, 847.18603515625, 745.8804321289062, 579.3850708007812
2.1611032485961914, 415.3912353515625, 577.739990234375, 816.94970703125, 846.199951171875, 742.8817138671875, 560.24658203125
2.2623114585876465, 416.69012451171875, 580.9805297851562, 818.2828369140625, 844.2894897460938, 739.7208251953125, 556.2553100585938
2.3697376251220703, 418.18267822265625, 583.2885131835938, 819.8286743164062, 843.6909790039062, 732.7997436523438, 558.6734008789062
2.470796823501587, 420.2330627441406, 585.0216064453125, 820.9974975585938, 843.6885375976562, 730.4207153320312, 560.5269165039062
2.5730323791503906, 422.04583740234375, 585.8777465820312, 821.3241577148438, 844.3919067382812, 732.1978149414062, 562.7640380859375
2.6830368041992188, 423.95269775390625, 586.2122192382812, 821.5660400390625, 844.8954467773438, 733.6063232421875, 566.3197021484375
2.7990283966064453, 426.5556335449219, 587.2935791015625, 822.6619873046875, 845.2884521484375, 736.733154296875, 573.6758422851562
2.9144444465637207, 430.0185852050781, 589.1429443359375, 824.1387329101562, 845.659423828125, 740.2452392578125, 576.39404296875
3.021507978439331, 411.32403564453125, 531.5055541992188, 791.9528198242188, 844.0084228515625, 754.5662841796875, 586.8727416992188
3.127840042114258, 413.5538635253906, 519.571044921875, 756.6532592773438, 836.7882690429688, 764.0035400390625, 598.6771240234375
3.2289206981658936, 413.9043884277344, 524.3602905273438, 734.5613403320312, 819.1364135742188, 767.2054443359375, 614.8157348632812
3.3304240703582764, 413.6933288574219, 528.9880981445312, 729.169921875, 809.5449829101562, 757.669921875, 616.698486328125
3.430795907974243, 413.829345703125, 538.2869262695312, 746.4157104492188, 819.6270751953125, 740.17236328125, 609.608154296875
3.531782627105713, 414.3940734863281, 545.8214111328125, 762.709716796875, 827.0982666015625, 730.2141723632812, 603.2883911132812
3.6341655254364014, 414.9466857910156, 553.595703125, 777.827880859375, 833.8319091796875, 720.2703247070312, 593.85888671875
3.7383317947387695, 415.27850341796875, 557.9158935546875, 784.4856567382812, 836.705078125, 735.0457763671875, 587.03515625
3.857654333114624, 415.8350524902344, 563.0800170898438, 792.0452880859375, 839.8518676757812, 740.982666015625, 585.37353515625
3.97160005569458, 416.3579406738281, 570.7499389648438, 802.2626342773438, 843.9486083984375, 741.5242919921875, 587.7673950195312
4.085036277770996, 417.3929443359375, 577.4173583984375, 809.382080078125, 847.278076171875, 742.4292602539062, 587.45068359375
4.206836223602295, 419.847900390625, 585.2906494140625, 814.0472412109375, 848.6155395507812, 742.9028930664062, 584.1529541015625
4.325813293457031, 416.44610595703125, 588.1381225585938, 816.5826416015625, 849.3578491210938, 742.9329223632812, 580.4591064453125
4.43371057510376, 415.6991271972656, 586.744140625, 816.3805541992188, 849.9415283203125, 743.9547729492188, 579.6987915039062
4.541126251220703, 416.1601867675781, 586.47119140625, 816.8238525390625, 850.4096069335938, 744.3914794921875, 580.6331787109375
4.671690464019775, 417.5177307128906, 588.7564697265625, 817.9988403320312, 850.9327392578125, 744.5123901367188, 582.81689453125
4.78776741027832, 418.6029968261719, 590.7799072265625, 819.0632934570312, 851.3955688476562, 744.6766357421875, 585.2002563476562
4.922141075134277, 420.6261291503906, 593.5836181640625, 820.6920166015625, 851.8510131835938, 744.4846801757812, 587.5424194335938
5.023294448852539, 422.4477233886719, 594.3358154296875, 821.3387451171875, 852.2919311523438, 744.8980102539062, 589.138427734375
