time, rftn-301A08R29, rftn-301A44R29, rftn-301A73R29, rftn-301A108R29, rftn-301A163R29, rftn-301A229R29, rftn-301A273R29, rftn-301A309R29
(s), (K), (K), (K), (K), (K), (K), (K), (K)
0.0, 550.9308471679688, 603.343017578125, 704.15869140625, 838.9856567382812, 854.0277099609375, 771.7999877929688, 649.6582641601562, 582.0349731445312
0.10373413562774658, 462.306640625, 553.760986328125, 698.094482421875, 838.4835205078125, 854.0285034179688, 772.308349609375, 650.1423950195312, 582.4351806640625
0.20603495836257935, 445.4103088378906, 512.993896484375, 674.6307983398438, 836.037841796875, 852.372314453125, 770.9295654296875, 639.9736328125, 575.9619140625
0.30843502283096313, 442.7574768066406, 527.2692260742188, 673.7089233398438, 833.3942260742188, 849.9783935546875, 766.4444580078125, 593.2385864257812, 543.9514770507812
0.4090045392513275, 436.2063903808594, 533.27685546875, 675.6871337890625, 831.9219360351562, 849.1152954101562, 766.8426513671875, 594.748779296875, 543.3511352539062
0.5173681974411011, 424.54400634765625, 534.1138916015625, 676.3634643554688, 830.2423095703125, 848.260986328125, 767.9888916015625, 603.1569213867188, 549.1788940429688
0.6176936030387878, 419.7527160644531, 535.6734619140625, 676.850341796875, 829.3382568359375, 848.0906982421875, 769.0466918945312, 608.1143798828125, 552.4733276367188
0.7183680534362793, 416.5069580078125, 538.9663696289062, 677.7808837890625, 829.2857055664062, 848.45556640625, 769.9131469726562, 611.5274658203125, 554.6829833984375
0.8197470307350159, 416.31854248046875, 541.7689819335938, 678.9029541015625, 829.6355590820312, 848.9527587890625, 770.6171264648438, 614.0947875976562, 556.3739013671875
0.9214017987251282, 416.3063049316406, 544.129150390625, 679.8699951171875, 829.948974609375, 849.3696899414062, 771.2349853515625, 616.292236328125, 557.8814086914062
1.0237839221954346, 416.7457580566406, 546.1011962890625, 680.641357421875, 830.1719360351562, 849.72900390625, 771.7972412109375, 618.244873046875, 559.2479248046875
1.1253479719161987, 415.82269287109375, 547.7811279296875, 681.3079223632812, 830.3746337890625, 850.1010131835938, 772.3533325195312, 619.9730834960938, 560.4641723632812
1.2256832122802734, 414.3309631347656, 549.1309204101562, 681.761474609375, 830.3770141601562, 850.3657836914062, 772.9107055664062, 621.6057739257812, 561.6135864257812
1.328076720237732, 414.9324951171875, 550.4664306640625, 682.4095458984375, 830.6610717773438, 850.8466186523438, 773.49755859375, 622.996337890625, 562.578125
1.4295883178710938, 414.9549560546875, 551.74609375, 683.0814819335938, 831.0174560546875, 851.4138793945312, 774.0977172851562, 624.2032470703125, 563.4140625
1.5329571962356567, 415.0914001464844, 552.9151611328125, 683.7029418945312, 831.333251953125, 851.867919921875, 774.6887817382812, 625.349365234375, 564.2308349609375
1.6403169631958008, 414.8916931152344, 554.0407104492188, 684.334228515625, 831.7205200195312, 852.3890991210938, 775.2728881835938, 626.3985595703125, 564.99169921875
1.7481226921081543, 414.593505859375, 555.106201171875, 684.9761962890625, 832.2056884765625, 852.9607543945312, 775.7893676757812, 627.3272705078125, 565.6712646484375
1.8512886762619019, 414.3164367675781, 556.0982666015625, 685.64892578125, 832.7886962890625, 853.5445556640625, 776.2654418945312, 628.1078491210938, 566.2379150390625
1.9522430896759033, 413.9884948730469, 557.0380249023438, 686.3358764648438, 833.4193115234375, 854.1411743164062, 776.7340698242188, 628.8055419921875, 566.7061767578125
2.056255578994751, 413.4026794433594, 557.9359741210938, 687.0187377929688, 834.0538940429688, 854.739013671875, 777.2169799804688, 629.48193359375, 566.8322143554688
2.1611032485961914, 412.6227722167969, 558.7730712890625, 687.6837158203125, 834.6884155273438, 855.3283081054688, 777.6934814453125, 630.1168823242188, 566.6802978515625
2.2623114585876465, 411.86468505859375, 559.5369262695312, 688.3097534179688, 835.2963256835938, 855.8875732421875, 778.1356201171875, 630.658447265625, 566.6082153320312
2.3697376251220703, 411.0863037109375, 560.2874755859375, 688.9398193359375, 835.9173583984375, 856.4689331054688, 778.5751953125, 631.1439819335938, 566.774169921875
2.470796823501587, 410.38592529296875, 560.9520874023438, 689.5125122070312, 836.4906616210938, 857.007080078125, 778.8821411132812, 631.537841796875, 567.146484375
2.5730323791503906, 409.7644348144531, 561.5810546875, 690.0665893554688, 837.0532836914062, 857.543212890625, 778.9930419921875, 631.9095458984375, 567.5784912109375
2.6830368041992188, 409.26275634765625, 562.2109375, 690.6370849609375, 837.6412963867188, 858.1107788085938, 778.8638916015625, 632.3232421875, 568.0376586914062
2.7990283966064453, 408.9408874511719, 562.8196411132812, 691.2075805664062, 838.2379760742188, 858.6979370117188, 778.4805908203125, 632.80419921875, 568.3790893554688
2.9144444465637207, 408.86614990234375, 563.3841552734375, 691.75830078125, 838.8220825195312, 859.2730712890625, 777.8714599609375, 633.3058471679688, 568.6014404296875
3.021507978439331, 409.1373291015625, 563.8123168945312, 692.1798095703125, 839.2598876953125, 859.7859497070312, 777.267578125, 633.79052734375, 568.859130859375
3.127840042114258, 409.5260314941406, 564.1025390625, 692.4755249023438, 839.545654296875, 860.24365234375, 776.8051147460938, 634.2671508789062, 569.1798706054688
3.2289206981658936, 409.8874816894531, 564.1539306640625, 692.525146484375, 839.5415649414062, 860.5664672851562, 776.4526977539062, 634.7307739257812, 569.551025390625
3.3304240703582764, 410.21875, 564.2761840820312, 692.5943603515625, 839.5055541992188, 860.8060913085938, 775.8221435546875, 635.1668090820312, 569.9291381835938
3.430795907974243, 410.5247802734375, 564.4528198242188, 692.7373657226562, 839.5836791992188, 861.08349609375, 775.2800903320312, 635.55712890625, 570.2883911132812
