time, tvn-10A04R02T01, tvn-10A12R02T01, tvn-10A22R02T01, tvn-10A35R02T01, tvn-10A49R02T01, tvn-10A58R02T01
(s), (K), (K), (K), (K), (K), (K)
0.0, 405.7485046386719, 513.926025390625, 732.2689819335938, 827.552978515625, 797.0670166015625, 646.4299926757812
0.10373413562774658, 425.3449401855469, 465.43841552734375, 671.7804565429688, 766.833251953125, 767.8662109375, 671.2410888671875
0.20603495836257935, 458.33258056640625, 465.2195739746094, 523.3697509765625, 592.39990234375, 674.9702758789062, 649.9676513671875
0.30843502283096313, 432.6846618652344, 471.41363525390625, 664.938232421875, 760.6254272460938, 750.0652465820312, 491.6560363769531
0.4090045392513275, 414.50830078125, 451.7871398925781, 605.245849609375, 705.7569580078125, 726.8168334960938, 604.4346313476562
0.5173681974411011, 411.2793273925781, 462.8084716796875, 643.4320068359375, 758.164306640625, 762.7230224609375, 620.3428344726562
0.6176936030387878, 411.98248291015625, 481.4903869628906, 674.1519775390625, 778.1097412109375, 764.5656127929688, 616.07958984375
0.7183680534362793, 418.84088134765625, 502.680419921875, 697.45263671875, 790.1099853515625, 761.9659423828125, 606.6856079101562
0.8197470307350159, 424.77880859375, 513.9256591796875, 705.8480224609375, 792.6942749023438, 760.5792236328125, 608.5745239257812
0.9214017987251282, 423.2841796875, 503.3326110839844, 693.060546875, 783.4674072265625, 760.9199829101562, 622.4563598632812
1.0237839221954346, 420.1036071777344, 496.52349853515625, 685.7511596679688, 781.2665405273438, 760.9066162109375, 628.577392578125
1.1253479719161987, 414.7498474121094, 495.291748046875, 680.733642578125, 784.033203125, 766.2732543945312, 632.4638061523438
1.2256832122802734, 413.6243896484375, 506.3316650390625, 681.4953002929688, 783.4044799804688, 767.2823486328125, 635.1824951171875
1.328076720237732, 417.0085754394531, 521.4288330078125, 724.2698364257812, 815.9370727539062, 766.160400390625, 616.1931762695312
1.4295883178710938, 415.7301025390625, 519.6466064453125, 714.5743408203125, 815.2219848632812, 772.2778930664062, 621.6478881835938
1.5329571962356567, 415.771484375, 523.0037231445312, 723.879150390625, 815.331787109375, 770.2280883789062, 619.2251586914062
1.6403169631958008, 416.763427734375, 530.5112915039062, 740.01318359375, 821.0866088867188, 765.1858520507812, 611.94140625
1.7481226921081543, 420.0566101074219, 544.5333251953125, 766.7428588867188, 828.26953125, 756.4072875976562, 602.7554931640625
1.8512886762619019, 424.94012451171875, 563.5381469726562, 791.954833984375, 838.3915405273438, 750.9794921875, 591.5867309570312
1.9522430896759033, 426.1082458496094, 576.4554443359375, 804.4844360351562, 842.163818359375, 744.9896850585938, 585.545166015625
2.056255578994751, 424.68646240234375, 580.147705078125, 807.8854370117188, 843.3760986328125, 741.6653442382812, 582.0547485351562
2.1611032485961914, 426.2518005371094, 584.6131591796875, 811.5941772460938, 844.364501953125, 741.292236328125, 562.4974365234375
2.2623114585876465, 427.6101379394531, 586.4228515625, 812.7454223632812, 844.7924194335938, 741.5308837890625, 554.1013793945312
2.3697376251220703, 429.3238830566406, 588.2284545898438, 814.2542724609375, 845.50439453125, 737.6260375976562, 555.09033203125
2.470796823501587, 432.2048034667969, 589.7868041992188, 815.3292236328125, 845.9796142578125, 734.015869140625, 556.5870971679688
2.5730323791503906, 434.3373718261719, 590.6618041992188, 816.0365600585938, 846.5833129882812, 731.7640991210938, 558.62255859375
2.6830368041992188, 435.1200866699219, 590.8987426757812, 816.3423461914062, 847.0831909179688, 731.657470703125, 563.614013671875
2.7990283966064453, 435.1285705566406, 591.7365112304688, 817.1201171875, 847.578369140625, 734.3954467773438, 571.22021484375
2.9144444465637207, 435.70318603515625, 593.1846923828125, 818.2196044921875, 848.092041015625, 736.6500854492188, 570.7770385742188
3.021507978439331, 433.0208740234375, 570.8633422851562, 796.218994140625, 845.3427124023438, 743.7366333007812, 572.9915161132812
3.127840042114258, 410.6058044433594, 532.5822143554688, 770.1748046875, 841.1773071289062, 750.77734375, 580.7284545898438
3.2289206981658936, 413.2359313964844, 507.4082946777344, 732.734375, 829.8765258789062, 747.328125, 588.7880859375
3.3304240703582764, 415.4224853515625, 519.4000854492188, 726.527099609375, 821.1449584960938, 738.4380493164062, 595.62109375
3.430795907974243, 416.630859375, 537.7322387695312, 746.9259643554688, 826.5725708007812, 738.9671020507812, 593.646240234375
3.531782627105713, 416.87451171875, 547.3824462890625, 769.2976684570312, 836.5259399414062, 738.8298950195312, 593.869384765625
3.6341655254364014, 417.13623046875, 554.6217041015625, 782.5870971679688, 840.8124389648438, 742.255126953125, 590.3899536132812
3.7383317947387695, 417.5376281738281, 557.3458251953125, 788.6970825195312, 843.5482788085938, 742.5499267578125, 589.8002319335938
3.857654333114624, 418.73211669921875, 561.7905883789062, 795.7269287109375, 846.443603515625, 743.314697265625, 586.9862670898438
3.97160005569458, 419.2679138183594, 571.0958251953125, 805.2755126953125, 849.5310668945312, 744.748046875, 588.3372802734375
4.085036277770996, 420.3937683105469, 578.154296875, 811.369384765625, 851.6218872070312, 745.991943359375, 591.1550903320312
4.206836223602295, 424.04827880859375, 585.4872436523438, 815.9590454101562, 852.6986694335938, 746.6077880859375, 588.0369873046875
4.325813293457031, 421.784912109375, 591.3291015625, 819.310546875, 853.375732421875, 745.687744140625, 580.9461059570312
4.43371057510376, 419.2676696777344, 589.42822265625, 819.3271484375, 853.84521484375, 745.5963745117188, 577.7481079101562
4.541126251220703, 419.6519775390625, 588.4829711914062, 819.62939453125, 854.3081665039062, 745.2412719726562, 582.7710571289062
