time, pn-10A04R03T01, pn-10A12R03T01, pn-10A22R03T01, pn-10A35R03T01, pn-10A49R03T01, pn-10A58R03T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
0.0, 300412.90625, 300346.1875, 300262.8125, 300206.40625, 300151.90625, 300083.1875
0.10373413562774658, 437505.375, 387613.6875, 317201.84375, 305016.78125, 303272.84375, 301865.21875
0.20603495836257935, 862164.375, 857478.8125, 822865.625, 702389.5625, 538358.0, 404723.0
0.30843502283096313, 644424.6875, 643944.1875, 641979.375, 637489.5625, 627899.3125, 571635.5625
0.4090045392513275, 388335.375, 384831.0625, 377767.6875, 365763.84375, 351566.75, 335566.28125
0.5173681974411011, 340554.78125, 337144.375, 330986.875, 322718.71875, 315204.5625, 309303.03125
0.6176936030387878, 319595.375, 318249.0, 315737.28125, 311941.6875, 308178.65625, 305066.5625
0.7183680534362793, 307436.3125, 307013.0, 306061.71875, 304538.9375, 303056.84375, 301777.09375
0.8197470307350159, 305040.5, 304820.375, 304170.8125, 303128.28125, 302132.6875, 301245.03125
0.9214017987251282, 305454.96875, 305233.0, 304557.03125, 303458.75, 302387.96875, 301430.59375
1.0237839221954346, 305795.78125, 305616.4375, 304974.40625, 303875.71875, 302773.875, 301771.46875
1.1253479719161987, 306827.90625, 306541.96875, 305662.4375, 304316.53125, 303007.0, 301807.375
1.2256832122802734, 305443.15625, 305258.5625, 304626.375, 303530.46875, 302438.21875, 301454.34375
1.328076720237732, 302771.71875, 302696.78125, 302413.0625, 301886.53125, 301375.375, 300929.25
1.4295883178710938, 303288.5, 303064.71875, 302627.71875, 301985.59375, 301393.125, 300856.34375
1.5329571962356567, 302457.6875, 302320.6875, 302019.375, 301544.03125, 301106.21875, 300704.96875
1.6403169631958008, 301635.28125, 301541.15625, 301341.75, 301031.125, 300756.4375, 300488.15625
1.7481226921081543, 300849.09375, 300808.25, 300716.03125, 300549.96875, 300411.25, 300292.28125
1.8512886762619019, 300659.5, 300634.34375, 300575.0, 300480.84375, 300401.0, 300337.28125
1.9522430896759033, 301969.3125, 301935.1875, 301869.90625, 301788.9375, 301715.28125, 301675.1875
2.056255578994751, 301355.5, 301341.21875, 301303.40625, 301248.40625, 301201.09375, 301164.0
2.1611032485961914, 301371.78125, 301357.9375, 301326.71875, 301285.59375, 301251.84375, 301219.78125
2.2623114585876465, 301200.28125, 301183.09375, 301149.5, 301110.90625, 301074.25, 301012.65625
2.3697376251220703, 300659.375, 300645.75, 300619.21875, 300586.5625, 300551.34375, 300468.96875
2.470796823501587, 300553.96875, 300539.625, 300512.4375, 300480.28125, 300436.625, 300340.5625
2.5730323791503906, 300671.8125, 300658.75, 300633.46875, 300600.65625, 300542.84375, 300437.65625
2.6830368041992188, 301058.53125, 301046.1875, 301020.25, 300986.125, 300909.78125, 300829.0
2.7990283966064453, 300892.25, 300879.75, 300855.4375, 300823.78125, 300721.9375, 300649.625
2.9144444465637207, 300767.5625, 300766.90625, 300751.25, 300726.25, 300614.1875, 300549.28125
3.021507978439331, 301656.84375, 301582.65625, 301483.28125, 301349.90625, 300940.8125, 300766.1875
3.127840042114258, 303195.03125, 303074.09375, 302815.40625, 302504.59375, 301504.9375, 301086.4375
3.2289206981658936, 303499.625, 303385.75, 303084.78125, 302598.21875, 301728.25, 301173.21875
3.3304240703582764, 303270.21875, 303173.6875, 302906.3125, 302428.3125, 301651.15625, 301080.0625
3.430795907974243, 302181.84375, 302109.4375, 301929.625, 301621.71875, 301196.28125, 300809.375
3.531782627105713, 301603.21875, 301551.96875, 301423.15625, 301197.9375, 300927.0, 300652.5625
3.6341655254364014, 301314.5, 301274.1875, 301171.90625, 301004.15625, 300772.375, 300541.1875
3.7383317947387695, 301278.9375, 301242.21875, 301148.59375, 300994.15625, 300727.71875, 300526.0625
3.857654333114624, 301166.15625, 301137.1875, 301065.0, 300947.96875, 300654.4375, 300509.21875
3.97160005569458, 300937.3125, 300913.8125, 300859.25, 300780.875, 300518.21875, 300419.78125
4.085036277770996, 300752.90625, 300733.09375, 300687.90625, 300631.09375, 300389.375, 300320.84375
4.206836223602295, 300577.84375, 300562.375, 300526.875, 300484.1875, 300304.0625, 300246.78125
4.325813293457031, 300511.34375, 300493.875, 300461.375, 300426.84375, 300271.90625, 300215.84375
4.43371057510376, 300595.875, 300577.28125, 300541.40625, 300503.28125, 300286.09375, 300219.5625
4.541126251220703, 300595.40625, 300577.6875, 300543.1875, 300505.75, 300266.125, 300198.375
4.671690464019775, 300539.625, 300524.03125, 300493.03125, 300458.6875, 300226.59375, 300162.125
4.78776741027832, 300499.09375, 300484.6875, 300456.46875, 300425.03125, 300198.0625, 300136.1875
4.922141075134277, 300433.03125, 300421.5625, 300399.71875, 300374.25, 300176.625, 300123.25
5.023294448852539, 300427.78125, 300415.71875, 300392.8125, 300367.78125, 300168.1875, 300114.4375
5.1348161697387695, 300446.25, 300433.875, 300409.84375, 300383.4375, 300165.6875, 300111.375
5.257768630981445, 300416.34375, 300413.15625, 300393.875, 300368.75, 300151.34375, 300100.59375
5.35908317565918, 300530.96875, 300516.8125, 300482.0625, 300447.96875, 300162.6875, 300101.34375
5.469796657562256, 300663.59375, 300637.8125, 300592.5625, 300546.0, 300177.90625, 300107.40625
5.5783185958862305, 300795.0625, 300774.3125, 300725.125, 300666.9375, 300194.875, 300115.75
5.681950092315674, 300886.40625, 300867.5, 300817.34375, 300754.28125, 300207.34375, 300121.4375
5.785118579864502, 301029.75, 301009.625, 300955.875, 300885.375, 300232.25, 300136.125
5.910521030426025, 301282.28125, 301258.125, 301192.0625, 301104.59375, 300272.09375, 300160.3125
6.022008419036865, 301498.46875, 301470.90625, 301394.0625, 301290.5625, 300301.75, 300178.125
6.151069641113281, 301444.375, 301417.875, 301340.96875, 301232.78125, 300290.5, 300171.875
6.300473690032959, 301018.59375, 300995.59375, 300927.53125, 300830.9375, 300218.375, 300126.5625
6.412941932678223, 300437.40625, 300426.53125, 300397.0625, 300351.65625, 300101.375, 300056.09375
6.536937713623047, 300267.1875, 300256.875, 300231.46875, 300202.0, 300077.34375, 300043.0625
6.673643589019775, 300228.53125, 300217.125, 300196.84375, 300174.96875, 300074.625, 300042.625
6.785762786865234, 300188.65625, 300180.4375, 300160.1875, 300139.0625, 300040.5, 300022.8125
6.913528919219971, 300206.90625, 300209.90625, 300197.1875, 300180.4375, 300062.625, 300035.625
7.014155387878418, 300241.625, 300237.15625, 300221.78125, 300205.0625, 300073.9375, 300041.4375
7.1195831298828125, 300208.65625, 300203.9375, 300188.5, 300172.3125, 300064.96875, 300036.375
7.229507923126221, 300212.8125, 300207.65625, 300193.28125, 300179.375, 300070.25, 300039.40625
7.336047649383545, 300191.0625, 300185.0625, 300170.25, 300156.90625, 300058.46875, 300032.90625
7.4399638175964355, 300206.9375, 300200.375, 300185.71875, 300173.46875, 300066.65625, 300036.78125
7.540230751037598, 300190.34375, 300183.71875, 300169.03125, 300157.71875, 300066.15625, 300035.84375
7.642172336578369, 300213.09375, 300206.53125, 300194.09375, 300191.3125, 300074.28125, 300040.40625
7.746711730957031, 300247.25, 300240.5, 300228.875, 300225.28125, 300094.6875, 300049.53125
7.852985382080078, 300219.0, 300212.59375, 300202.46875, 300182.78125, 300088.90625, 300045.8125
7.963085174560547, 300236.03125, 300229.53125, 300218.84375, 300189.09375, 300103.5, 300053.6875
8.063236236572266, 300251.9375, 300245.78125, 300238.34375, 300189.0, 300106.78125, 300055.1875
8.165102005004883, 300267.84375, 300261.65625, 300254.125, 300194.28125, 300110.34375, 300056.84375
8.26696491241455, 300297.96875, 300292.15625, 300279.28125, 300203.34375, 300117.625, 300061.0
8.376710891723633, 300336.4375, 300331.1875, 300308.3125, 300219.15625, 300130.0625, 300067.875
8.490143775939941, 300378.21875, 300374.90625, 300340.84375, 300237.625, 300142.03125, 300074.28125
8.591897964477539, 300393.40625, 300386.40625, 300341.25, 300232.78125, 300138.5625, 300072.59375
8.697918891906738, 300425.1875, 300395.34375, 300325.53125, 300215.28125, 300129.125, 300067.53125
8.798591613769531, 300557.59375, 300521.75, 300429.25, 300288.78125, 300179.8125, 300096.0625
8.904738426208496, 300622.4375, 300585.25, 300464.125, 300301.03125, 300183.3125, 300097.0625
9.019099235534668, 300827.5625, 300721.40625, 300550.59375, 300353.40625, 300217.65625, 300116.0
9.139452934265137, 301435.03125, 301119.6875, 300823.1875, 300531.5625, 300337.375, 300185.5
